SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGY,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU
62201,7,1,2,58,,5,6,,,,2,,2,2,2,,2,2,,1,2,1,1,2,2,,,,,19442.27631,0,1,95,6,6,1.34,4,4,0,2,0,2,32,2,3,2,
62202,7,2,1,36,,1,1,1,,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,1,41155.16716,40844.55611,1,102,14,14,2.83,6,6,1,2,0,1,36,1,2,1,3
62203,7,2,1,8,,4,4,2,8,99,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,,11324.95467,11525.07535,1,93,12,12,,3,3,0,1,0,2,49,2,3,1,3
62204,7,1,2,9,,5,6,,,,,,2,1,3,3,,,,1,1,2,1,2,2,,,,,5585.02957,0,2,103,15,15,5,4,4,0,2,0,1,48,2,5,1,5
62205,7,2,1,28,,3,3,2,,,2,,1,1,,,5,5,,1,2,2,1,2,2,1,2,2,1,103663.694,105583.9646,1,90,15,15,5,4,4,0,1,0,2,53,1,5,1,5
62206,7,2,2,35,,3,3,1,,,2,,1,1,,,4,1,2,1,2,2,1,2,2,,,,,67177.36991,67642.29702,3,92,14,14,2.74,6,6,2,2,0,1,35,1,5,1,4
62207,7,2,1,0,0,4,4,1,,1,,,1,1,,,,,,1,1,2,1,2,2,,,,,6988.613752,7730.080563,1,100,5,5,1.05,3,3,1,0,0,2,35,1,4,6,
62208,7,2,1,38,,2,2,1,,,2,,2,2,3,,4,1,,2,2,2,1,2,2,1,2,2,2,41241.2246,41216.94347,2,102,7,7,1.53,5,5,1,2,0,2,37,2,4,1,4
62209,7,2,2,62,,1,1,1,,,2,,2,2,3,,1,4,,2,2,2,2,2,2,2,2,2,2,13473.30489,14578.16607,2,96,6,6,1.11,6,6,0,2,1,1,40,2,2,1,2
62210,7,2,1,15,,3,3,2,15,188,,,1,1,,10,,,,1,1,2,1,2,2,1,2,2,1,100370.5205,102294.6649,1,90,15,15,5,4,4,0,2,1,2,52,1,5,1,
62211,7,1,2,63,,1,1,,,,2,,2,2,77,,1,1,,2,2,2,1,2,2,,,,,16352.91583,0,3,92,9,9,2.22,5,5,1,0,2,1,66,2,1,1,1
62212,7,1,2,8,,4,4,,,,,,1,1,,2,,,,1,1,2,1,2,2,,,,,9465.598219,0,2,91,12,12,,3,3,0,1,0,1,56,1,4,1,4
62213,7,2,1,2,,4,4,2,2,25,,,1,1,,,,,,1,1,2,1,2,2,,,,,5422.375171,5488.513785,2,99,4,4,0.94,3,3,1,0,0,1,48,2,3,6,
62214,7,2,2,22,,4,4,2,,,2,,1,1,,,3,4,2,1,2,2,1,2,2,1,2,2,1,18723.98095,21433.16612,2,95,7,7,1.41,5,5,2,0,0,2,53,1,3,3,
62215,7,2,2,65,,3,3,2,,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,129999.0355,129559.2554,1,98,13,13,,2,2,0,0,2,2,80,1,2,2,
62216,7,2,1,0,6,3,3,1,,7,,,1,1,,,,,,1,1,2,1,2,2,,,,,19442.48847,19106.3701,2,92,15,15,5,3,3,1,0,0,2,31,2,5,1,5
62217,7,2,2,77,,1,1,1,,,2,,1,1,,,1,5,,1,2,2,1,2,2,1,2,2,,15730.58404,17568.35711,2,98,4,4,0.97,3,3,0,1,1,2,77,1,1,5,
62218,7,2,2,38,,4,4,1,,,2,,1,1,,,4,5,3,1,2,2,1,2,2,1,2,2,1,39534.63522,41046.5642,2,102,14,14,4.05,3,3,0,1,0,1,18,1,2,,
62219,7,2,2,2,,1,1,1,3,36,,,1,1,,,,,,1,1,2,1,2,2,,,,,11582.17442,11621.72361,2,102,4,4,0.44,7,7,1,3,0,1,48,1,9,1,9
62220,7,2,2,31,,4,4,2,,,2,,1,1,,,5,5,2,1,2,2,1,2,2,1,2,2,1,33193.03873,33538.5649,1,96,9,9,4.92,1,1,0,0,0,2,31,1,5,5,
62221,7,2,2,41,,4,4,1,,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,25818.76839,25697.01211,1,100,14,14,3.6,4,4,1,1,0,1,41,1,4,1,5
62222,7,2,1,32,,3,3,2,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,89973.12905,97483.08857,1,93,15,15,5,2,2,0,0,0,2,30,1,5,1,5
62223,7,2,1,54,,5,6,2,,,2,,2,1,6,,3,1,,1,2,2,1,2,2,1,2,2,1,10133.86248,12107.78442,3,90,77,77,,3,3,0,1,0,1,54,2,3,1,3
62224,7,2,2,29,,2,2,2,,,2,,2,2,4,,1,1,2,2,2,2,1,2,2,2,2,2,2,43986.77937,46449.61995,1,93,9,9,2.46,4,4,0,2,0,1,35,2,1,1,1
62225,7,2,2,13,,1,1,1,13,160,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,24481.18769,25761.61166,1,92,15,15,4.99,4,4,0,2,0,2,43,1,4,1,4
62226,7,2,1,80,,2,2,1,,,2,,2,1,9,,4,1,,2,2,2,2,2,2,2,2,1,,13654.27056,13892.29545,2,93,9,9,3.64,2,2,0,0,2,2,79,2,2,1,4
62227,7,2,1,19,,3,3,2,19,235,2,,1,1,,15,,,,1,2,2,1,2,2,1,2,2,1,68701.5804,72973.56472,2,94,15,15,5,5,5,0,2,0,1,53,1,5,1,5
62228,7,2,1,50,,3,3,2,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,144353.1336,144729.9526,1,91,14,14,3.15,5,5,0,1,0,2,50,1,5,1,5
62229,7,2,2,31,,3,3,1,,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,72426.98054,75980.14515,1,98,6,6,1.31,3,3,1,0,0,1,30,1,5,1,5
62230,7,2,1,75,,3,3,1,,,2,,1,1,,,1,3,,1,2,2,1,2,2,1,2,2,,12946.81804,13703.92145,1,101,5,3,1.07,2,1,0,0,2,2,70,1,4,2,
62231,7,2,2,48,,1,1,1,,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,43535.99309,52686.7085,2,102,15,15,3.92,5,5,0,0,0,1,19,1,4,,
62232,7,2,2,42,,3,3,2,,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,115926.4026,118970.0861,1,101,14,14,3.3,4,4,0,2,0,2,42,1,4,1,3
62233,7,2,2,63,,1,1,1,,,2,,1,1,,,2,4,,1,2,2,1,2,2,,,,,10999.00871,11900.96839,2,98,6,6,0.78,7,7,1,3,1,2,63,1,2,4,
62234,7,2,1,23,,4,4,2,,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,14860.31242,14555.81678,3,90,15,15,4.89,5,5,0,0,0,2,57,2,3,1,3
62235,7,2,2,2,,3,3,2,2,33,,,1,1,,,,,,1,1,2,1,2,2,,,,,49862.01399,55032.24546,2,91,15,15,5,4,4,2,0,0,1,35,1,5,1,5
62236,7,2,1,61,,5,6,2,,,2,,2,1,6,,4,1,,1,2,2,1,2,2,1,2,2,1,9048.959172,9513.611982,1,93,15,15,5,5,5,1,0,1,1,61,2,4,1,4
62237,7,2,2,58,,3,3,1,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,140431.1738,139253.6595,1,91,7,7,2.64,2,2,0,0,1,2,58,1,5,1,4
62238,7,2,2,0,4,3,3,1,,4,,,1,1,,,,,,1,1,2,1,2,2,,,,,20786.668,20803.88171,1,101,8,8,1.85,5,5,3,0,0,2,31,1,2,1,2
62239,7,2,2,22,,2,2,2,,,2,,2,2,2,,3,6,2,2,2,2,2,2,2,2,2,2,2,39426.06152,39254.34369,2,94,14,1,0.09,5,1,0,0,0,1,24,2,4,5,
62240,7,2,2,14,,2,2,2,15,180,,,1,1,,9,,,,1,1,2,1,2,2,1,2,2,1,26657.12187,28092.60269,1,97,14,14,3.25,4,4,0,2,0,1,45,1,3,6,
62241,7,2,1,2,,2,2,2,2,31,,,1,1,,,,,,1,1,2,1,2,2,,,,,9237.934626,9897.780242,2,90,14,14,3.45,4,4,1,1,0,2,34,2,5,6,
62242,7,2,1,24,,3,3,1,,,2,,1,1,,,5,5,,1,2,2,1,2,2,1,2,2,1,129608.7168,132839.5257,1,100,6,6,1.98,2,2,0,0,0,1,50,1,5,4,
62243,7,2,2,1,16,3,3,2,,16,,,1,1,,,,,,1,1,2,1,2,2,,,,,49862.01399,51432.86882,2,91,15,15,5,4,4,2,0,0,1,34,1,5,1,5
62244,7,2,1,1,17,1,1,1,,18,,,1,1,,,,,,1,1,2,1,2,2,,,,,14505.6706,14525.27118,2,102,15,15,5,4,4,2,0,0,1,32,1,5,1,5
62245,7,2,1,8,,5,6,2,8,97,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,,10810.91361,11522.32071,1,97,15,15,5,4,4,1,1,0,1,44,2,5,1,5
62246,7,2,2,0,1,1,1,1,,2,,,1,1,,,,,,2,1,2,2,2,2,,,,,7210.38482,7501.352858,1,100,99,99,,7,7,2,3,0,2,35,2,1,1,
62247,7,1,2,0,6,4,4,,,,,,1,1,,,,,,1,1,2,1,2,2,,,,,5158.857524,0,1,97,7,7,1.74,4,4,2,0,0,1,34,1,5,1,5
62248,7,2,1,65,,5,6,2,,,2,,2,2,3,,1,1,,1,2,1,1,2,1,1,2,1,,9048.959172,9881.360452,1,93,8,8,1.2,7,7,1,1,1,1,24,2,2,5,
62249,7,2,2,26,,3,3,1,,,2,,1,1,,,5,5,2,1,2,2,1,2,2,1,2,2,1,59001.30334,59528.81521,2,101,4,4,1.38,1,1,0,0,0,2,26,1,5,5,
62250,7,2,1,34,,1,1,1,,,1,2,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,51543.06208,52965.08671,3,92,15,15,5,3,3,1,0,0,1,34,1,5,1,5
62251,7,2,2,51,,5,6,1,,,2,,2,1,7,,4,1,,1,2,2,1,2,2,1,2,2,1,16672.82247,17074.23833,1,92,12,12,,4,4,0,0,0,1,59,2,3,1,4
62252,7,2,2,11,,1,1,1,11,143,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,17053.85429,17379.52,3,92,15,8,2.62,4,3,1,1,0,1,30,1,2,6,
62253,7,2,1,18,,3,3,2,19,228,2,,1,1,,13,,,,1,2,2,1,2,2,1,2,2,1,68701.5804,72973.56472,2,94,14,14,5,3,3,0,0,0,1,42,1,5,1,5
62254,7,2,1,14,,4,4,2,14,179,,,1,1,,9,,,,1,1,2,1,2,2,,,,,15381.58132,15476.08802,1,93,12,12,,5,4,0,2,0,1,32,1,2,5,
62255,7,2,1,65,,3,3,2,,,1,2,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,29731.88661,29889.86954,1,95,3,3,0.87,2,2,0,0,2,2,65,1,2,1,3
62256,7,2,1,80,,3,3,2,,,1,2,1,1,,,1,1,,1,2,2,1,2,2,1,2,2,,7911.357817,9487.389486,2,94,5,5,1.63,2,2,0,0,2,2,79,1,3,1,1
62257,7,2,2,2,,1,1,1,2,31,,,1,1,,,,,,2,1,2,,,,,,,,9469.751474,10135.11658,1,102,,,,5,5,1,2,0,1,39,,,1,
62258,7,2,1,47,,2,2,1,,,2,,2,2,6,,1,1,,2,2,2,2,2,2,,,,,43470.92932,42833.06044,1,92,6,6,0.93,5,5,0,2,0,1,47,2,1,1,1
62259,7,2,1,61,,4,4,2,,,1,2,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,7736.56115,7645.782314,1,99,4,2,0.87,2,1,0,0,1,2,59,1,3,3,
62260,7,2,1,10,,3,3,2,10,125,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,57305.50117,60591.4434,1,94,15,15,5,5,5,0,3,0,1,46,1,3,1,5
62261,7,2,1,47,,2,2,1,,,2,,2,1,6,,4,1,,1,2,2,1,2,2,2,2,2,2,33029.27284,33366.32395,2,93,14,14,3.25,4,4,0,2,0,2,46,2,5,1,4
62262,7,2,2,0,10,2,2,1,,10,,,1,1,,,,,,2,1,2,2,2,2,,,,,7367.430495,7616.752822,2,91,5,5,0.74,5,5,1,1,0,1,35,2,1,1,2
62263,7,2,1,2,,3,3,2,2,32,,,1,1,,,,,,1,1,2,1,2,2,,,,,28617.22313,33531.79182,1,101,3,3,0.61,4,4,1,2,0,1,38,1,2,4,
62264,7,2,1,77,,3,3,2,,,1,2,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,,52448.38862,55291.88618,1,99,7,7,2.72,2,2,0,0,2,1,77,1,2,1,3
62265,7,2,1,52,,3,3,2,,,1,2,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,19478.84508,19591.5023,2,95,7,7,1.13,6,6,0,3,1,1,52,1,4,1,4
62266,7,2,1,64,,3,3,2,,,2,,2,1,6,,5,3,,1,2,2,1,2,2,1,2,2,1,29999.54343,30837.64811,2,91,12,5,1.79,3,1,0,0,1,1,52,1,4,3,
62267,7,2,2,27,,3,3,2,,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,34430.80691,35615.74248,2,95,6,6,1.08,4,4,1,1,0,1,39,1,4,1,4
62268,7,2,2,15,,1,1,1,16,192,,,1,1,,9,,,,2,2,2,1,2,2,1,2,2,1,16734.61837,17498.91614,2,96,5,5,0.78,5,5,0,2,0,1,37,2,1,5,
62269,7,2,1,29,,4,4,2,,,2,,1,1,,,2,5,,1,2,2,1,2,2,1,2,2,1,14718.12323,15404.51735,2,101,1,1,0.1,6,6,1,2,1,2,27,1,2,1,2
62270,7,2,2,33,,2,2,1,,,2,,2,2,2,,5,5,2,2,2,2,1,2,2,2,2,2,2,31765.06131,30907.97323,2,93,4,4,0.56,5,5,0,0,0,2,49,2,2,5,
62271,7,2,1,7,,4,4,2,7,87,,,1,1,,0,,,,1,1,2,1,2,2,,,,,6971.452972,8307.996458,2,99,7,7,1.63,4,4,0,2,0,1,53,1,3,3,
62272,7,2,1,9,,2,2,1,9,111,,,1,1,,3,,,,2,1,2,1,2,2,1,2,2,1,11102.34051,11169.62627,2,93,6,6,0.64,7,7,2,1,3,2,60,2,3,2,
62273,7,2,2,15,,5,6,1,15,184,,,1,1,,10,,,,1,1,2,1,2,2,1,2,2,1,7588.544207,7881.983727,3,91,14,14,4.03,4,4,0,2,0,1,51,2,4,1,5
62274,7,2,1,2,,4,4,1,2,28,,,1,1,,,,,,1,1,2,1,2,2,,,,,5103.735747,5455.59,2,95,3,3,0.38,5,5,2,2,0,2,37,1,4,3,
62275,7,2,2,41,,5,6,2,,,2,,2,1,8,,5,5,2,1,2,2,1,2,2,1,2,2,1,14442.40632,14518.77693,2,99,15,15,5,1,1,0,0,0,2,41,2,5,5,
62276,7,2,1,9,,3,3,2,9,114,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,,63059.77644,67841.51106,1,99,15,15,5,4,4,1,1,0,2,42,1,5,1,5
62277,7,2,2,55,,3,3,1,,,2,,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,139343.5518,140618.3088,2,98,9,9,5,1,1,0,0,0,2,55,1,4,3,
62278,7,2,2,72,,3,3,1,,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,,62212.59877,64340.26128,1,94,7,7,2.51,2,2,0,0,2,2,72,1,4,1,1
62279,7,2,1,80,,4,4,2,,,1,2,1,1,,,2,2,,1,2,2,1,2,2,1,2,2,,9456.784526,9941.375417,2,99,13,13,,3,3,0,0,1,1,80,1,2,2,
62280,7,2,2,54,,4,4,1,,,2,,1,1,,,4,2,,1,2,2,1,2,2,1,2,2,1,16966.72353,16502.38463,2,95,6,6,1.7,2,2,0,0,0,2,54,1,4,2,
62281,7,2,2,13,,4,4,2,13,162,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,11372.48914,11738.96243,1,99,6,6,0.96,5,5,1,2,0,2,35,1,4,1,2
62282,7,2,2,57,,4,4,1,,,2,,1,1,,,5,3,,1,2,2,1,2,2,1,2,2,1,21219.11683,20638.40003,1,102,6,6,1.7,2,2,0,0,1,2,80,,,2,
62283,7,2,1,2,,1,1,1,2,29,,,1,1,,,,,,1,1,2,1,2,2,,,,,14457.8542,15490.54734,1,92,10,10,2.93,4,4,1,0,0,2,55,1,4,1,4
62284,7,2,2,64,,3,3,1,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,117778.2813,120111.4951,1,94,8,8,2.41,3,3,0,0,3,1,63,1,4,1,5
62285,7,2,2,17,,3,3,2,17,206,2,,1,1,,11,,,,1,2,2,1,2,2,1,2,2,1,103007.6962,104941.3931,1,101,6,6,1.31,3,3,0,1,0,1,51,1,4,1,4
62286,7,2,1,30,,4,4,2,,,2,,1,1,,,3,5,,1,2,2,1,2,2,1,2,2,1,12556.20775,12615.02215,2,99,,77,,7,7,1,0,1,2,51,1,2,1,3
62287,7,2,2,73,,4,4,1,,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,,12183.82356,12607.77863,2,100,6,6,2.11,2,2,0,0,2,1,79,1,3,1,4
62288,7,2,1,29,,3,3,1,,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,22634.53148,23281.74151,1,103,9,6,2.24,3,1,0,0,0,1,27,1,5,5,
62289,7,2,1,71,,5,7,1,,,2,,1,1,,,2,3,,1,2,2,1,2,2,1,2,2,,13555.67282,15969.74695,1,94,3,3,1.07,1,1,0,0,1,1,71,1,2,3,
62290,7,2,2,2,,4,4,2,2,29,,,1,1,,,,,,1,1,2,1,2,2,,,,,7618.827213,7957.141798,2,101,1,1,0,3,3,2,0,0,1,22,1,3,5,
62291,7,2,1,56,,5,7,1,,,1,1,2,1,8,,4,1,,1,2,2,1,2,2,1,2,2,1,20111.19695,20038.54385,1,92,14,14,5,2,2,0,0,0,1,56,2,4,1,4
62292,7,2,1,80,,3,3,2,,,1,1,1,1,,,5,2,,1,2,2,1,2,2,,,,,36829.54342,39682.30563,1,93,15,15,5,4,3,0,0,3,1,80,1,5,2,
62293,7,2,1,67,,3,3,2,,,1,1,2,1,9,,4,3,,1,2,2,1,2,2,1,2,2,,28478.57859,28745.66908,1,101,3,3,1.16,1,1,0,0,1,1,67,2,4,3,
62294,7,2,1,9,,2,2,2,9,117,,,1,1,,4,,,,2,1,2,1,2,2,1,2,2,1,9390.522479,10327.33474,2,90,3,3,0.54,4,4,1,2,0,2,33,2,1,4,
62295,7,2,2,69,,2,2,2,,,2,,2,1,9,,2,2,,1,2,2,1,2,2,1,2,2,1,9716.805546,12994.25217,2,90,2,2,0.79,1,1,0,0,1,2,69,2,2,2,
